Date,"Suchmaschinenoptimierung","Suchmaschinenmarketing"
2015-07-01,589,219
2015-07-02,572,183
2015-07-03,441,149
2015-07-04,189,65
2015-07-05,328,83
2015-07-06,693,236
2015-07-07,643,225
2015-07-08,628,239
2015-07-09,589,225
2015-07-10,538,187
2015-07-11,249,77
2015-07-12,481,103
2015-07-13,752,268
2015-07-14,633,250
2015-07-15,693,197
2015-07-16,568,196
2015-07-17,456,141
2015-07-18,210,62
2015-07-19,295,154
2015-07-20,631,253
2015-07-21,542,243
2015-07-22,866,252
2015-07-23,678,208
2015-07-24,438,158
2015-07-25,282,70
2015-07-26,269,82
2015-07-27,543,239
2015-07-28,543,261
2015-07-29,547,263
2015-07-30,532,219
2015-07-31,399,164
2015-08-01,206,74
2015-08-02,241,67
2015-08-03,505,222
2015-08-04,554,226
2015-08-05,554,255
2015-08-06,501,222
2015-08-07,376,166
2015-08-08,200,53
2015-08-09,241,84
2015-08-10,526,229
2015-08-11,761,265
2015-08-12,532,238
2015-08-13,574,244
2015-08-14,462,167
2015-08-15,253,71
2015-08-16,293,94
2015-08-17,644,295
2015-08-18,627,251
2015-08-19,610,273
2015-08-20,545,279
2015-08-21,388,208
2015-08-22,186,54
2015-08-23,241,108
2015-08-24,538,251
2015-08-25,871,244
2015-08-26,570,214
2015-08-27,494,222
2015-08-28,419,163
2015-08-29,199,66
2015-08-30,238,72
2015-08-31,548,213
2015-09-01,681,252
2015-09-02,619,232
2015-09-03,618,242
2015-09-04,420,196
2015-09-05,233,49
2015-09-06,258,86
2015-09-07,616,225
2015-09-08,598,277
2015-09-09,681,237
2015-09-10,571,250
2015-09-11,471,184
2015-09-12,183,59
2015-09-13,233,70
2015-09-14,577,243
2015-09-15,597,245
2015-09-16,526,239
2015-09-17,759,226
2015-09-18,440,189
2015-09-19,222,68
2015-09-20,275,93
2015-09-21,545,212
2015-09-22,532,233
2015-09-23,580,227
2015-09-24,498,241
2015-09-25,420,150
2015-09-26,214,59
2015-09-27,271,101
2015-09-28,622,270
2015-09-29,570,260
2015-09-30,508,225
2015-10-01,522,213
2015-10-02,398,172
2015-10-03,192,69
2015-10-04,240,107
2015-10-05,558,250
2015-10-06,610,312
2015-10-07,572,264
2015-10-08,794,286
2015-10-09,455,172
2015-10-10,225,60
2015-10-11,276,124
2015-10-12,656,268
2015-10-13,641,291
2015-10-14,640,292
2015-10-15,562,242
2015-10-16,442,180
2015-10-17,222,79
2015-10-18,311,109
2015-10-19,663,309
2015-10-20,834,273
2015-10-21,777,270
2015-10-22,646,251
2015-10-23,500,223
2015-10-24,222,77
2015-10-25,314,93
2015-10-26,609,304
2015-10-27,645,296
2015-10-28,610,310
2015-10-29,543,258
2015-10-30,455,218
2015-10-31,224,75
2015-11-01,283,132
2015-11-02,654,309
2015-11-03,631,293
2015-11-04,617,276
2015-11-05,620,302
2015-11-06,477,242
2015-11-07,252,106
2015-11-08,320,126
2015-11-09,636,283
2015-11-10,589,293
2015-11-11,627,293
2015-11-12,586,273
2015-11-13,460,205
2015-11-14,234,144
2015-11-15,313,123
2015-11-16,590,277
2015-11-17,609,286
2015-11-18,557,235
2015-11-19,578,234
2015-11-20,493,175
2015-11-21,289,89
2015-11-22,293,105
2015-11-23,607,262
2015-11-24,721,250
2015-11-25,564,261
2015-11-26,577,223
2015-11-27,452,177
2015-11-28,206,83
2015-11-29,305,106
2015-11-30,601,309
2015-12-01,666,243
2015-12-02,663,274
2015-12-03,659,238
2015-12-04,518,200
2015-12-05,207,72
2015-12-06,335,110
2015-12-07,605,272
2015-12-08,608,296
2015-12-09,613,246
2015-12-10,640,235
2015-12-11,461,177
2015-12-12,210,76
2015-12-13,332,119
2015-12-14,555,274
2015-12-15,605,262
2015-12-16,603,274
2015-12-17,600,239
2015-12-18,406,161
2015-12-19,225,64
2015-12-20,315,71
2015-12-21,414,227
2015-12-22,381,156
2015-12-23,257,94
2015-12-24,140,45
2015-12-25,231,45
2015-12-26,164,44
2015-12-27,320,75
2015-12-28,314,116
2015-12-29,351,122
2015-12-30,270,81
2015-12-31,204,56
2016-01-01,176,47
2016-01-02,282,88
2016-01-03,324,97
2016-01-04,587,227
2016-01-05,639,269
2016-01-06,617,257
2016-01-07,632,287
2016-01-08,513,238
2016-01-09,314,116
2016-01-10,385,157
2016-01-11,798,310
2016-01-12,681,313
2016-01-13,665,316
2016-01-14,731,380
2016-01-15,696,260
2016-01-16,283,79
2016-01-17,384,148
2016-01-18,718,346
2016-01-19,707,300
2016-01-20,707,320
2016-01-21,757,314
2016-01-22,500,227
2016-01-23,295,99
2016-01-24,402,140
2016-01-25,668,328
2016-01-26,756,318
2016-01-27,733,343
2016-01-28,601,286
2016-01-29,474,223
2016-01-30,300,113
2016-01-31,453,132
2016-02-01,658,277
2016-02-02,738,331
2016-02-03,678,281
2016-02-04,705,297
2016-02-05,522,225
2016-02-06,228,85
2016-02-07,310,117
2016-02-08,648,316
2016-02-09,582,282
2016-02-10,613,313
2016-02-11,637,295
2016-02-12,453,216
2016-02-13,283,108
2016-02-14,320,127
2016-02-15,633,341
2016-02-16,722,306
2016-02-17,697,277
2016-02-18,618,264
2016-02-19,530,235
2016-02-20,321,85
2016-02-21,368,132
2016-02-22,650,334
2016-02-23,762,327
2016-02-24,645,328
2016-02-25,572,277
2016-02-26,587,204
2016-02-27,274,87
2016-02-28,333,123
2016-02-29,637,273
2016-03-01,665,288
2016-03-02,624,272
2016-03-03,586,277
2016-03-04,488,218
2016-03-05,253,86
2016-03-06,338,121
2016-03-07,656,311
2016-03-08,665,312
2016-03-09,640,285
2016-03-10,561,281
2016-03-11,489,223
2016-03-12,241,98
2016-03-13,297,120
2016-03-14,609,330
2016-03-15,688,286
2016-03-16,568,249
2016-03-17,579,231
2016-03-18,477,181
2016-03-19,226,75
2016-03-20,347,119
2016-03-21,611,292
2016-03-22,544,269
2016-03-23,578,226
2016-03-24,430,158
2016-03-25,309,96
2016-03-26,191,56
2016-03-27,185,64
2016-03-28,269,102
2016-03-29,530,247
2016-03-30,604,280
2016-03-31,558,243
2016-04-01,417,168
2016-04-02,224,78
2016-04-03,295,108
2016-04-04,620,289
2016-04-05,621,325
2016-04-06,677,296
2016-04-07,603,270
2016-04-08,467,222
2016-04-09,197,86
2016-04-10,290,120
2016-04-11,623,299
2016-04-12,659,295
2016-04-13,565,308
2016-04-14,595,282
2016-04-15,467,189
2016-04-16,232,94
2016-04-17,301,142
2016-04-18,618,316
2016-04-19,609,281
2016-04-20,648,296
2016-04-21,599,269
2016-04-22,453,201
2016-04-23,234,98
2016-04-24,338,132
2016-04-25,601,321
2016-04-26,693,322
2016-04-27,618,314
2016-04-28,558,256
2016-04-29,411,178
2016-04-30,233,95
2016-05-01,274,102
2016-05-02,565,259
2016-05-03,584,265
2016-05-04,472,211
2016-05-05,260,92
2016-05-06,305,129
2016-05-07,170,48
2016-05-08,255,100
2016-05-09,557,290
2016-05-10,627,254
2016-05-11,549,277
2016-05-12,544,268
2016-05-13,411,157
2016-05-14,206,72
2016-05-15,241,75
2016-05-16,366,133
2016-05-17,595,259
2016-05-18,502,263
2016-05-19,617,270
2016-05-20,431,218
2016-05-21,166,61
2016-05-22,245,94
2016-05-23,598,262
2016-05-24,534,271
2016-05-25,435,218
2016-05-26,335,151
2016-05-27,367,132
2016-05-28,189,56
2016-05-29,297,118
2016-05-30,616,286
2016-05-31,553,281
2016-06-01,592,278
2016-06-02,492,251
2016-06-03,485,185
2016-06-04,283,83
2016-06-05,341,115
2016-06-06,731,336
2016-06-07,675,275
2016-06-08,652,312
2016-06-09,552,259
2016-06-10,504,199
2016-06-11,322,103
2016-06-12,614,135
2016-06-13,781,251
2016-06-14,640,287
2016-06-15,620,284
2016-06-16,558,262
2016-06-17,469,205
2016-06-18,227,85
2016-06-19,322,152
2016-06-20,605,339
2016-06-21,551,286
2016-06-22,582,272
2016-06-23,525,208
2016-06-24,353,164
2016-06-25,214,83
2016-06-26,245,101
2016-06-27,512,264
2016-06-28,510,267
2016-06-29,584,243
2016-06-30,492,231
2016-07-01,402,165
2016-07-02,220,81
2016-07-03,243,115
2016-07-04,548,273
2016-07-05,577,251
2016-07-06,479,284
2016-07-07,480,245
2016-07-08,383,173
2016-07-09,166,65
2016-07-10,188,84
2016-07-11,512,250
2016-07-12,544,262
2016-07-13,530,272
2016-07-14,509,230
2016-07-15,360,218
2016-07-16,189,72
2016-07-17,234,105
2016-07-18,517,259
2016-07-19,537,253
2016-07-20,469,258
2016-07-21,418,203
2016-07-22,365,149
2016-07-23,169,216
2016-07-24,236,85
2016-07-25,540,223
2016-07-26,513,242
2016-07-27,443,220
2016-07-28,493,229
2016-07-29,384,174
2016-07-30,147,63
2016-07-31,229,68
2016-08-01,484,263
2016-08-02,481,237
2016-08-03,573,240
2016-08-04,866,205
2016-08-05,362,151
2016-08-06,186,59
2016-08-07,196,69
2016-08-08,449,234
2016-08-09,490,219
2016-08-10,524,201
2016-08-11,444,188
2016-08-12,368,158
2016-08-13,134,57
2016-08-14,180,74
2016-08-15,482,227
2016-08-16,478,250
2016-08-17,634,233
2016-08-18,413,195
2016-08-19,358,164
2016-08-20,167,65
2016-08-21,211,123
2016-08-22,478,299
2016-08-23,535,249
2016-08-24,510,235
2016-08-25,416,235
2016-08-26,364,135
2016-08-27,172,50
2016-08-28,218,89
2016-08-29,504,256
2016-08-30,501,254
2016-08-31,457,223
2016-09-01,411,217
2016-09-02,396,191
2016-09-03,166,227
2016-09-04,235,88
2016-09-05,524,239
2016-09-06,521,265
2016-09-07,517,270
2016-09-08,453,211
2016-09-09,378,237
2016-09-10,147,59
2016-09-11,169,83
2016-09-12,451,281
2016-09-13,504,259
2016-09-14,457,277
2016-09-15,465,253
2016-09-16,370,212
2016-09-17,282,70
2016-09-18,228,103
2016-09-19,459,253
2016-09-20,476,253
2016-09-21,596,273
2016-09-22,468,211
2016-09-23,370,183
2016-09-24,189,77
2016-09-25,263,86
2016-09-26,497,277
2016-09-27,532,256
2016-09-28,503,216
2016-09-29,405,183
2016-09-30,326,160
2016-10-01,161,40
2016-10-02,198,51
2016-10-03,308,113
2016-10-04,518,212
2016-10-05,540,270
2016-10-06,459,243
2016-10-07,359,179
2016-10-08,188,81
2016-10-09,259,115
2016-10-10,528,221
2016-10-11,506,256
2016-10-12,559,274
2016-10-13,478,241
2016-10-14,352,171
2016-10-15,197,79
2016-10-16,248,111
2016-10-17,1179,293
2016-10-18,530,287
2016-10-19,514,250
2016-10-20,525,232
2016-10-21,394,207
2016-10-22,223,103
2016-10-23,282,98
2016-10-24,548,257
2016-10-25,546,257
2016-10-26,521,234
2016-10-27,505,219
2016-10-28,366,186
2016-10-29,200,77
2016-10-30,274,105
2016-10-31,406,205
2016-11-01,404,190
2016-11-02,554,300
2016-11-03,520,243
2016-11-04,444,215
2016-11-05,265,84
2016-11-06,281,108
2016-11-07,640,289
2016-11-08,643,293
2016-11-09,558,235
2016-11-10,519,219
2016-11-11,385,170
2016-11-12,219,82
2016-11-13,255,113
2016-11-14,610,287
2016-11-15,572,282
2016-11-16,607,264
2016-11-17,490,239
2016-11-18,447,194
2016-11-19,227,92
2016-11-20,321,139
2016-11-21,546,252
2016-11-22,564,289
2016-11-23,806,236
2016-11-24,442,226
2016-11-25,409,179
2016-11-26,193,63
2016-11-27,276,115
2016-11-28,491,273
2016-11-29,558,307
2016-11-30,554,257
2016-12-01,442,222
2016-12-02,376,183
2016-12-03,198,72
2016-12-04,232,87
2016-12-05,501,277
2016-12-06,513,311
2016-12-07,502,248
2016-12-08,462,225
2016-12-09,349,171
2016-12-10,183,74
2016-12-11,227,102
2016-12-12,465,212
2016-12-13,502,254
2016-12-14,518,230
2016-12-15,499,201
2016-12-16,305,126
2016-12-17,183,66
2016-12-18,242,104
2016-12-19,450,198
2016-12-20,366,182
2016-12-21,354,162
2016-12-22,294,122
2016-12-23,230,75
2016-12-24,97,31
2016-12-25,113,45
2016-12-26,132,59
2016-12-27,271,93
2016-12-28,227,109
2016-12-29,253,94
2016-12-30,255,92
2016-12-31,104,35
2017-01-01,138,38
2017-01-02,357,184
2017-01-03,410,220
2017-01-04,480,222
2017-01-05,443,210
2017-01-06,344,182
2017-01-07,231,103
2017-01-08,272,131
2017-01-09,501,255
2017-01-10,502,267
2017-01-11,504,253
2017-01-12,496,261
2017-01-13,419,187
2017-01-14,215,99
2017-01-15,255,127
2017-01-16,491,260
2017-01-17,505,281
2017-01-18,494,295
2017-01-19,519,243
2017-01-20,376,149
2017-01-21,203,69
2017-01-22,311,110
2017-01-23,506,217
2017-01-24,554,223
2017-01-25,564,218
2017-01-26,479,192
2017-01-27,410,136
2017-01-28,217,88
2017-01-29,450,109
2017-01-30,498,187
2017-01-31,456,190
2017-02-01,513,203
2017-02-02,513,219
2017-02-03,413,172
2017-02-04,203,80
2017-02-05,276,128
2017-02-06,496,203
2017-02-07,541,187
2017-02-08,490,188
2017-02-09,454,213
2017-02-10,360,168
2017-02-11,208,51
2017-02-12,239,87
2017-02-13,545,251
2017-02-14,504,197
2017-02-15,583,197
2017-02-16,434,180
2017-02-17,418,151
2017-02-18,240,74
2017-02-19,267,80
2017-02-20,507,237
2017-02-21,640,217
2017-02-22,513,221
2017-02-23,569,196
2017-02-24,376,146
2017-02-25,216,64
2017-02-26,249,73
2017-02-27,467,189
2017-02-28,478,185
2017-03-01,500,188
2017-03-02,530,177
2017-03-03,395,147
2017-03-04,240,59
2017-03-05,251,99
2017-03-06,593,265
2017-03-07,506,236
2017-03-08,483,171
2017-03-09,440,159
2017-03-10,393,131
2017-03-11,178,50
2017-03-12,272,97
2017-03-13,472,203
2017-03-14,526,234
2017-03-15,532,197
2017-03-16,486,174
2017-03-17,376,141
2017-03-18,222,80
2017-03-19,316,82
2017-03-20,557,171
2017-03-21,523,199
2017-03-22,480,189
2017-03-23,471,184
2017-03-24,361,120
2017-03-25,189,34
2017-03-26,221,87
2017-03-27,475,183
2017-03-28,472,179
2017-03-29,464,185
2017-03-30,455,142
2017-03-31,330,111
2017-04-01,261,56
2017-04-02,246,74
2017-04-03,480,201
2017-04-04,482,182
2017-04-05,439,157
2017-04-06,469,188
2017-04-07,369,131
2017-04-08,153,45
2017-04-09,180,55
2017-04-10,417,158
2017-04-11,430,161
2017-04-12,398,154
2017-04-13,362,125
2017-04-14,189,56
2017-04-15,226,35
2017-04-16,158,48
2017-04-17,244,69
2017-04-18,422,137
2017-04-19,420,170
2017-04-20,437,172
2017-04-21,351,138
2017-04-22,210,41
2017-04-23,283,82
2017-04-24,447,163
2017-04-25,471,196
2017-04-26,494,197
2017-04-27,425,157
2017-04-28,393,130
2017-04-29,168,49
2017-04-30,156,54
2017-05-01,249,76
2017-05-02,485,182
2017-05-03,447,173
2017-05-04,457,165
2017-05-05,419,104
2017-05-06,240,57
2017-05-07,233,74
2017-05-08,536,182
2017-05-09,549,212
2017-05-10,475,182
2017-05-11,401,146
2017-05-12,369,116
2017-05-13,198,53
2017-05-14,210,70
2017-05-15,447,172
2017-05-16,440,169
2017-05-17,417,187
2017-05-18,489,183
2017-05-19,355,119
2017-05-20,205,45
2017-05-21,236,68
2017-05-22,493,191
2017-05-23,449,136
2017-05-24,396,142
2017-05-25,254,73
2017-05-26,261,65
2017-05-27,179,40
2017-05-28,204,69
2017-05-29,398,140
2017-05-30,422,177
2017-05-31,430,171
2017-06-01,461,137
2017-06-02,355,103
2017-06-03,224,57
2017-06-04,242,61
2017-06-05,452,86
2017-06-06,427,155
2017-06-07,519,198
2017-06-08,449,170
2017-06-09,314,116
2017-06-10,206,61
2017-06-11,218,81
2017-06-12,441,178
2017-06-13,501,198
2017-06-14,407,148
2017-06-15,271,77
2017-06-16,296,118
2017-06-17,199,50
2017-06-18,239,95
2017-06-19,480,165
2017-06-20,479,193
2017-06-21,419,150
2017-06-22,441,139
2017-06-23,281,122
2017-06-24,280,46
2017-06-25,245,49
2017-06-26,474,173
2017-06-27,489,186
2017-06-28,469,172
2017-06-29,366,137
2017-06-30,403,102
2017-07-01,230,54
2017-07-02,238,96
2017-07-03,410,165
2017-07-04,492,178
2017-07-05,445,151
2017-07-06,464,170
2017-07-07,344,139
2017-07-08,195,55
2017-07-09,215,85
2017-07-10,443,187
2017-07-11,442,189
2017-07-12,414,160
2017-07-13,588,153
2017-07-14,341,90
2017-07-15,365,208
2017-07-16,330,61
2017-07-17,627,148
2017-07-18,426,139
2017-07-19,420,159
2017-07-20,392,157
2017-07-21,286,95
2017-07-22,198,43
2017-07-23,266,85
2017-07-24,422,145
2017-07-25,412,162
2017-07-26,407,144
2017-07-27,330,148
2017-07-28,282,104
2017-07-29,185,49
2017-07-30,181,55
2017-07-31,367,113
2017-08-01,434,151
2017-08-02,325,150
2017-08-03,361,122
2017-08-04,287,109
2017-08-05,156,40
2017-08-06,178,50
2017-08-07,400,113
2017-08-08,373,127
2017-08-09,362,135
2017-08-10,390,120
2017-08-11,284,76
2017-08-12,164,36
2017-08-13,151,46
2017-08-14,354,114
2017-08-15,349,123
2017-08-16,392,146
2017-08-17,392,127
2017-08-18,270,92
2017-08-19,138,40
2017-08-20,183,50
2017-08-21,416,147
2017-08-22,355,120
2017-08-23,382,115
2017-08-24,404,115
2017-08-25,288,84
2017-08-26,165,37
2017-08-27,180,68
2017-08-28,342,113
2017-08-29,329,153
2017-08-30,368,118
2017-08-31,372,147
2017-09-01,286,106
2017-09-02,188,52
2017-09-03,168,66
2017-09-04,367,150
2017-09-05,389,136
2017-09-06,356,141
2017-09-07,416,140
2017-09-08,308,83
2017-09-09,231,47
2017-09-10,201,46
2017-09-11,363,138
2017-09-12,396,153
2017-09-13,341,131
2017-09-14,367,137
2017-09-15,332,84
2017-09-16,186,39
2017-09-17,191,58
2017-09-18,432,154
2017-09-19,385,155
2017-09-20,383,146
2017-09-21,368,139
2017-09-22,295,108
2017-09-23,160,37
2017-09-24,221,59
2017-09-25,353,128
2017-09-26,408,133
2017-09-27,357,123
2017-09-28,359,118
2017-09-29,377,117
2017-09-30,178,40
2017-10-01,229,56
2017-10-02,293,95
2017-10-03,299,101
2017-10-04,376,162
2017-10-05,385,106
2017-10-06,341,102
2017-10-07,224,61
2017-10-08,212,70
2017-10-09,445,131
2017-10-10,427,145
2017-10-11,336,132
2017-10-12,409,142
2017-10-13,334,107
2017-10-14,219,47
2017-10-15,241,53
2017-10-16,425,149
2017-10-17,415,162
2017-10-18,461,152
2017-10-19,424,152
2017-10-20,384,115
2017-10-21,192,51
2017-10-22,239,94
2017-10-23,403,158
2017-10-24,379,159
2017-10-25,426,141
2017-10-26,353,127
2017-10-27,295,113
2017-10-28,183,33
2017-10-29,202,56
2017-10-30,601,127
2017-10-31,958,734
2017-11-01,283,107
2017-11-02,365,141
2017-11-03,370,111
2017-11-04,199,51
2017-11-05,279,110
2017-11-06,449,172
2017-11-07,432,162
2017-11-08,437,193
2017-11-09,516,181
2017-11-10,451,131
2017-11-11,285,56
2017-11-12,311,85
2017-11-13,486,184
2017-11-14,587,153
2017-11-15,510,139
2017-11-16,450,156
2017-11-17,459,113
2017-11-18,295,60
2017-11-19,239,77
2017-11-20,438,175
2017-11-21,377,149
2017-11-22,502,137
2017-11-23,537,123
2017-11-24,405,110
2017-11-25,271,44
2017-11-26,295,74
2017-11-27,528,158
2017-11-28,446,162
2017-11-29,523,163
2017-11-30,361,124
2017-12-01,335,73
2017-12-02,278,41
2017-12-03,281,69
