Date,"Suchmaschinenoptimierung","Suchmaschinenmarketing"
2017-12-04,396,95
2017-12-05,439,130
2017-12-06,476,144
2017-12-07,354,125
2017-12-08,327,88
2017-12-09,333,36
2017-12-10,207,49
2017-12-11,444,127
2017-12-12,488,150
2017-12-13,461,117
2017-12-14,318,95
2017-12-15,298,86
2017-12-16,167,30
2017-12-17,238,61
2017-12-18,343,106
2017-12-19,342,101
2017-12-20,368,79
2017-12-21,316,72
2017-12-22,267,53
2017-12-23,166,22
2017-12-24,112,20
2017-12-25,121,21
2017-12-26,179,31
2017-12-27,222,54
2017-12-28,229,67
2017-12-29,266,48
2017-12-30,170,36
2017-12-31,166,30
2018-01-01,179,30
2018-01-02,318,83
2018-01-03,338,96
2018-01-04,367,108
2018-01-05,307,104
2018-01-06,216,55
2018-01-07,222,68
2018-01-08,420,101
2018-01-09,416,125
2018-01-10,448,106
2018-01-11,433,113
2018-01-12,486,108
2018-01-13,234,46
2018-01-14,250,65
2018-01-15,449,128
2018-01-16,436,149
2018-01-17,445,134
2018-01-18,374,109
2018-01-19,363,106
2018-01-20,206,42
2018-01-21,260,63
2018-01-22,453,138
2018-01-23,477,123
2018-01-24,431,117
2018-01-25,398,130
2018-01-26,340,100
2018-01-27,158,44
2018-01-28,252,51
2018-01-29,438,124
2018-01-30,389,107
2018-01-31,370,95
2018-02-01,341,106
2018-02-02,314,88
2018-02-03,176,45
2018-02-04,222,50
2018-02-05,411,128
2018-02-06,397,135
2018-02-07,372,105
2018-02-08,373,96
2018-02-09,455,84
2018-02-10,186,44
2018-02-11,206,50
2018-02-12,356,91
2018-02-13,371,118
2018-02-14,330,102
2018-02-15,358,98
2018-02-16,304,81
2018-02-17,180,34
2018-02-18,211,56
2018-02-19,400,113
2018-02-20,427,111
2018-02-21,369,99
2018-02-22,361,81
2018-02-23,341,81
2018-02-24,190,44
2018-02-25,262,43
2018-02-26,404,98
2018-02-27,385,125
2018-02-28,369,94
2018-03-01,389,91
2018-03-02,340,90
2018-03-03,191,27
2018-03-04,250,66
2018-03-05,427,124
2018-03-06,457,147
2018-03-07,467,117
2018-03-08,391,124
2018-03-09,342,66
2018-03-10,220,40
2018-03-11,212,50
2018-03-12,402,99
2018-03-13,427,117
2018-03-14,397,120
2018-03-15,331,113
2018-03-16,301,97
2018-03-17,203,41
2018-03-18,185,43
2018-03-19,431,85
2018-03-20,440,121
2018-03-21,371,147
2018-03-22,393,97
2018-03-23,335,66
2018-03-24,182,44
2018-03-25,226,60
2018-03-26,343,115
2018-03-27,364,104
2018-03-28,336,114
2018-03-29,273,50
2018-03-30,203,33
2018-03-31,208,25
2018-04-01,155,37
2018-04-02,187,45
2018-04-03,405,113
2018-04-04,340,109
2018-04-05,471,113
2018-04-06,331,77
2018-04-07,168,33
2018-04-08,184,43
2018-04-09,432,144
2018-04-10,479,115
2018-04-11,408,136
2018-04-12,381,93
2018-04-13,308,85
2018-04-14,191,42
2018-04-15,200,50
2018-04-16,348,122
2018-04-17,342,124
2018-04-18,316,108
2018-04-19,316,107
2018-04-20,252,78
2018-04-21,131,21
2018-04-22,189,56
2018-04-23,380,110
2018-04-24,393,128
2018-04-25,330,127
2018-04-26,328,127
2018-04-27,287,88
2018-04-28,161,26
2018-04-29,176,53
2018-04-30,285,74
2018-05-01,242,57
2018-05-02,338,86
2018-05-03,323,85
2018-05-04,288,87
2018-05-05,178,27
2018-05-06,196,54
2018-05-07,347,87
2018-05-08,333,98
2018-05-09,292,104
2018-05-10,169,37
2018-05-11,243,53
2018-05-12,126,26
2018-05-13,183,42
2018-05-14,360,101
2018-05-15,378,122
2018-05-16,387,127
2018-05-17,298,80
2018-05-18,255,73
2018-05-19,149,37
2018-05-20,161,29
2018-05-21,176,55
2018-05-22,338,114
2018-05-23,368,119
2018-05-24,301,89
2018-05-25,243,73
2018-05-26,151,34
2018-05-27,247,49
2018-05-28,332,115
2018-05-29,342,97
2018-05-30,291,98
2018-05-31,231,65
2018-06-01,290,71
2018-06-02,143,22
2018-06-03,208,50
2018-06-04,314,98
2018-06-05,322,92
2018-06-06,349,104
2018-06-07,313,99
2018-06-08,253,77
2018-06-09,158,37
2018-06-10,195,60
2018-06-11,357,134
2018-06-12,356,121
2018-06-13,373,99
2018-06-14,332,97
2018-06-15,243,83
2018-06-16,155,42
2018-06-17,179,48
2018-06-18,352,142
2018-06-19,364,120
2018-06-20,354,105
2018-06-21,338,107
2018-06-22,250,88
2018-06-23,160,58
2018-06-24,200,54
2018-06-25,399,136
2018-06-26,399,140
2018-06-27,373,120
2018-06-28,325,105
2018-06-29,292,74
2018-06-30,155,23
2018-07-01,170,48
2018-07-02,305,107
2018-07-03,180,124
2018-07-04,333,101
2018-07-05,337,109
2018-07-06,260,84
2018-07-07,151,34
2018-07-08,202,38
2018-07-09,358,119
2018-07-10,380,131
2018-07-11,397,135
2018-07-12,329,102
2018-07-13,281,106
2018-07-14,171,39
2018-07-15,145,43
2018-07-16,303,113
2018-07-17,342,127
2018-07-18,280,110
2018-07-19,259,99
2018-07-20,242,75
2018-07-21,125,30
2018-07-22,192,46
2018-07-23,308,105
2018-07-24,339,107
2018-07-25,311,115
2018-07-26,312,106
2018-07-27,234,87
2018-07-28,126,35
2018-07-29,159,47
2018-07-30,336,96
2018-07-31,282,98
2018-08-01,284,79
2018-08-02,281,101
2018-08-03,241,66
2018-08-04,128,30
2018-08-05,137,51
2018-08-06,265,102
2018-08-07,477,128
2018-08-08,713,151
2018-08-09,749,242
2018-08-10,461,139
2018-08-11,178,21
2018-08-12,179,36
2018-08-13,296,91
2018-08-14,328,106
2018-08-15,309,109
2018-08-16,318,105
2018-08-17,322,94
2018-08-18,155,43
2018-08-19,168,34
2018-08-20,351,116
2018-08-21,371,92
2018-08-22,332,118
2018-08-23,288,85
2018-08-24,267,85
2018-08-25,138,30
2018-08-26,178,45
2018-08-27,332,113
2018-08-28,378,110
2018-08-29,348,111
2018-08-30,282,77
2018-08-31,241,67
2018-09-01,124,32
2018-09-02,181,39
2018-09-03,341,105
2018-09-04,425,134
2018-09-05,339,150
2018-09-06,322,117
2018-09-07,294,83
2018-09-08,168,37
2018-09-09,152,58
2018-09-10,325,169
2018-09-11,387,121
2018-09-12,316,90
2018-09-13,302,97
2018-09-14,257,71
2018-09-15,146,45
2018-09-16,161,49
2018-09-17,347,105
2018-09-18,357,119
2018-09-19,361,112
2018-09-20,322,102
2018-09-21,366,83
2018-09-22,162,43
2018-09-23,208,40
2018-09-24,357,87
2018-09-25,357,137
2018-09-26,355,110
2018-09-27,374,91
2018-09-28,282,65
2018-09-29,193,55
2018-09-30,235,62
2018-10-01,360,109
2018-10-02,339,100
2018-10-03,337,88
2018-10-04,421,107
2018-10-05,2514,93
2018-10-06,2651,37
2018-10-07,1894,56
2018-10-08,1361,118
2018-10-09,1265,107
2018-10-10,468,124
2018-10-11,1671,96
2018-10-12,776,89
2018-10-13,276,39
2018-10-14,1572,62
2018-10-15,591,103
2018-10-16,333,110
2018-10-17,334,116
2018-10-18,338,118
2018-10-19,302,71
2018-10-20,170,42
2018-10-21,174,41
2018-10-22,358,108
2018-10-23,367,126
2018-10-24,369,124
2018-10-25,339,102
2018-10-26,306,99
2018-10-27,151,41
2018-10-28,221,53
2018-10-29,396,86
2018-10-30,345,128
2018-10-31,259,83
2018-11-01,252,70
2018-11-02,252,61
2018-11-03,230,61
2018-11-04,244,61
2018-11-05,381,145
2018-11-06,337,137
2018-11-07,346,127
2018-11-08,354,122
2018-11-09,245,97
2018-11-10,220,55
2018-11-11,220,40
2018-11-12,383,111
2018-11-13,337,120
2018-11-14,364,124
2018-11-15,361,100
2018-11-16,287,84
2018-11-17,202,45
2018-11-18,185,51
2018-11-19,352,101
2018-11-20,421,123
2018-11-21,344,111
2018-11-22,325,94
2018-11-23,275,73
2018-11-24,154,41
2018-11-25,190,63
2018-11-26,349,97
2018-11-27,385,118
2018-11-28,381,93
2018-11-29,349,85
2018-11-30,324,99
2018-12-01,132,34
2018-12-02,178,58
2018-12-03,652,121
2018-12-04,440,101
2018-12-05,357,121
2018-12-06,331,96
2018-12-07,279,72
2018-12-08,188,48
2018-12-09,211,61
2018-12-10,368,121
2018-12-11,363,102
2018-12-12,348,93
2018-12-13,330,90
2018-12-14,263,83
2018-12-15,161,34
2018-12-16,180,48
2018-12-17,340,97
2018-12-18,345,80
2018-12-19,320,75
2018-12-20,270,92
2018-12-21,203,47
2018-12-22,151,24
2018-12-23,144,36
2018-12-24,115,11
2018-12-25,115,15
2018-12-26,143,35
2018-12-27,187,38
2018-12-28,180,35
2018-12-29,149,41
2018-12-30,160,27
2018-12-31,162,30
2019-01-01,147,28
2019-01-02,302,80
2019-01-03,321,88
2019-01-04,290,75
2019-01-05,222,46
2019-01-06,197,62
2019-01-07,387,117
2019-01-08,360,117
2019-01-09,400,126
2019-01-10,392,136
2019-01-11,333,85
2019-01-12,176,54
2019-01-13,231,64
2019-01-14,525,134
2019-01-15,446,126
2019-01-16,410,102
2019-01-17,438,102
2019-01-18,301,77
2019-01-19,181,51
2019-01-20,213,78
2019-01-21,448,122
2019-01-22,400,122
2019-01-23,375,128
2019-01-24,401,137
2019-01-25,273,94
2019-01-26,151,44
2019-01-27,191,58
2019-01-28,363,148
2019-01-29,366,135
2019-01-30,364,112
2019-01-31,413,115
2019-02-01,234,101
2019-02-02,203,53
2019-02-03,216,59
2019-02-04,395,123
2019-02-05,324,116
2019-02-06,332,119
2019-02-07,335,108
2019-02-08,276,93
2019-02-09,166,48
2019-02-10,246,65
2019-02-11,365,133
2019-02-12,344,128
2019-02-13,349,109
2019-02-14,316,82
2019-02-15,309,77
2019-02-16,160,37
2019-02-17,198,51
2019-02-18,365,125
2019-02-19,364,118
2019-02-20,354,96
2019-02-21,376,117
2019-02-22,290,75
2019-02-23,146,39
2019-02-24,208,60
2019-02-25,287,104
2019-02-26,334,116
2019-02-27,328,108
2019-02-28,283,92
2019-03-01,251,85
2019-03-02,157,28
2019-03-03,186,64
2019-03-04,346,118
2019-03-05,324,115
2019-03-06,384,255
2019-03-07,391,113
2019-03-08,273,96
2019-03-09,152,40
2019-03-10,206,42
2019-03-11,362,111
2019-03-12,362,111
2019-03-13,346,98
2019-03-14,297,140
2019-03-15,274,78
2019-03-16,131,22
2019-03-17,174,69
2019-03-18,325,117
2019-03-19,336,90
2019-03-20,352,112
2019-03-21,334,90
2019-03-22,193,77
2019-03-23,152,44
2019-03-24,164,51
2019-03-25,346,86
2019-03-26,376,116
2019-03-27,352,111
2019-03-28,422,118
2019-03-29,281,89
2019-03-30,149,27
2019-03-31,179,37
2019-04-01,370,94
2019-04-02,336,89
2019-04-03,321,113
2019-04-04,347,106
2019-04-05,245,60
2019-04-06,172,36
2019-04-07,175,57
2019-04-08,318,101
2019-04-09,352,107
2019-04-10,325,94
2019-04-11,354,102
2019-04-12,281,71
2019-04-13,174,54
2019-04-14,179,42
2019-04-15,285,95
2019-04-16,294,82
2019-04-17,292,95
2019-04-18,268,85
2019-04-19,148,44
2019-04-20,125,54
2019-04-21,121,29
2019-04-22,184,53
2019-04-23,355,91
2019-04-24,330,110
2019-04-25,336,94
2019-04-26,278,79
2019-04-27,155,38
2019-04-28,205,65
2019-04-29,358,126
2019-04-30,329,85
2019-05-01,190,62
2019-05-02,307,113
2019-05-03,271,87
2019-05-04,171,39
2019-05-05,206,69
2019-05-06,352,84
2019-05-07,364,109
2019-05-08,318,85
2019-05-09,292,83
2019-05-10,239,86
2019-05-11,195,39
2019-05-12,177,43
2019-05-13,329,102
2019-05-14,368,117
2019-05-15,327,118
2019-05-16,336,89
2019-05-17,298,115
2019-05-18,140,39
2019-05-19,164,53
2019-05-20,357,119
2019-05-21,469,124
2019-05-22,340,103
2019-05-23,381,97
2019-05-24,258,67
2019-05-25,155,30
2019-05-26,212,55
2019-05-27,312,97
2019-05-28,336,98
2019-05-29,289,93
2019-05-30,162,50
2019-05-31,212,58
2019-06-01,136,35
2019-06-02,168,44
2019-06-03,322,102
2019-06-04,310,97
2019-06-05,340,70
2019-06-06,299,103
2019-06-07,244,67
2019-06-08,140,33
2019-06-09,154,49
2019-06-10,228,52
2019-06-11,300,88
2019-06-12,339,98
2019-06-13,302,78
2019-06-14,216,81
2019-06-15,138,31
2019-06-16,178,43
2019-06-17,300,71
2019-06-18,293,91
2019-06-19,313,75
2019-06-20,221,70
2019-06-21,223,65
2019-06-22,149,49
2019-06-23,183,45
2019-06-24,353,105
2019-06-25,293,115
2019-06-26,265,98
2019-06-27,280,93
2019-06-28,222,57
2019-06-29,130,32
2019-06-30,156,36
2019-07-01,277,105
2019-07-02,313,118
2019-07-03,288,95
2019-07-04,268,96
2019-07-05,379,73
2019-07-06,144,33
2019-07-07,166,45
2019-07-08,312,87
2019-07-09,301,98
2019-07-10,302,90
2019-07-11,298,101
2019-07-12,233,82
2019-07-13,141,44
2019-07-14,173,50
2019-07-15,335,104
2019-07-16,315,99
2019-07-17,294,74
2019-07-18,257,52
2019-07-19,226,74
2019-07-20,128,20
2019-07-21,176,33
2019-07-22,269,92
2019-07-23,271,86
2019-07-24,294,67
2019-07-25,245,69
2019-07-26,237,64
2019-07-27,145,35
2019-07-28,165,39
2019-07-29,271,62
2019-07-30,326,104
2019-07-31,310,103
2019-08-01,311,72
2019-08-02,268,59
2019-08-03,178,34
2019-08-04,181,39
2019-08-05,364,81
2019-08-06,355,96
2019-08-07,307,84
2019-08-08,370,81
2019-08-09,258,55
2019-08-10,166,37
2019-08-11,172,44
2019-08-12,298,108
2019-08-13,347,97
2019-08-14,283,73
2019-08-15,295,79
2019-08-16,227,58
2019-08-17,137,37
2019-08-18,185,46
2019-08-19,327,90
2019-08-20,326,78
2019-08-21,248,76
2019-08-22,264,78
2019-08-23,205,61
2019-08-24,130,24
2019-08-25,148,41
2019-08-26,314,95
2019-08-27,303,109
2019-08-28,258,82
2019-08-29,252,89
2019-08-30,247,56
2019-08-31,132,26
2019-09-01,185,45
2019-09-02,272,73
2019-09-03,284,94
2019-09-04,342,80
2019-09-05,275,68
2019-09-06,233,51
2019-09-07,242,43
2019-09-08,190,53
2019-09-09,342,116
2019-09-10,318,84
2019-09-11,286,100
2019-09-12,254,80
2019-09-13,256,83
2019-09-14,137,41
2019-09-15,142,42
2019-09-16,312,97
2019-09-17,316,102
2019-09-18,283,89
2019-09-19,258,81
2019-09-20,206,87
2019-09-21,136,25
2019-09-22,156,35
2019-09-23,292,89
2019-09-24,318,110
2019-09-25,317,98
2019-09-26,298,82
2019-09-27,210,68
2019-09-28,152,28
2019-09-29,161,40
2019-09-30,281,93
2019-10-01,305,99
2019-10-02,292,72
2019-10-03,147,50
2019-10-04,199,87
2019-10-05,161,43
2019-10-06,190,65
2019-10-07,374,149
2019-10-08,325,105
2019-10-09,312,105
2019-10-10,354,106
2019-10-11,254,79
2019-10-12,138,33
2019-10-13,146,56
2019-10-14,402,137
2019-10-15,279,115
2019-10-16,309,107
2019-10-17,305,89
2019-10-18,282,84
2019-10-19,158,41
2019-10-20,174,50
2019-10-21,330,107
2019-10-22,400,115
2019-10-23,296,119
2019-10-24,309,75
2019-10-25,288,76
2019-10-26,151,37
2019-10-27,183,29
2019-10-28,342,114
2019-10-29,328,99
2019-10-30,368,98
2019-10-31,256,70
2019-11-01,224,44
2019-11-02,154,36
2019-11-03,188,59
2019-11-04,361,113
2019-11-05,352,104
2019-11-06,356,94
2019-11-07,338,98
2019-11-08,265,68
2019-11-09,161,37
2019-11-10,178,45
2019-11-11,341,104
2019-11-12,359,103
2019-11-13,343,97
2019-11-14,309,87
2019-11-15,284,65
2019-11-16,196,39
2019-11-17,186,56
2019-11-18,310,85
2019-11-19,344,107
2019-11-20,294,109
2019-11-21,299,80
2019-11-22,249,69
2019-11-23,142,43
2019-11-24,167,38
2019-11-25,313,87
2019-11-26,325,148
2019-11-27,291,103
2019-11-28,297,94
2019-11-29,230,77
2019-11-30,136,29
2019-12-01,179,40
2019-12-02,303,111
2019-12-03,311,113
2019-12-04,310,101
2019-12-05,267,80
2019-12-06,243,57
2019-12-07,151,44
2019-12-08,169,43
2019-12-09,308,82
2019-12-10,353,84
2019-12-11,302,107
2019-12-12,275,63
2019-12-13,236,77
2019-12-14,179,44
2019-12-15,166,41
2019-12-16,280,79
2019-12-17,290,92
2019-12-18,306,115
2019-12-19,348,65
2019-12-20,215,30
2019-12-21,118,27
2019-12-22,122,34
2019-12-23,174,52
2019-12-24,128,28
2019-12-25,134,18
2019-12-26,116,23
2019-12-27,147,34
2019-12-28,148,34
2019-12-29,161,28
2019-12-30,184,72
2019-12-31,134,41
2020-01-01,124,37
2020-01-02,226,68
2020-01-03,207,83
2020-01-04,177,36
2020-01-05,183,40
2020-01-06,272,80
2020-01-07,356,133
2020-01-08,372,113
2020-01-09,316,115
2020-01-10,280,79
2020-01-11,179,55
2020-01-12,206,69
2020-01-13,364,101
2020-01-14,461,102
2020-01-15,389,127
2020-01-16,366,112
2020-01-17,337,88
2020-01-18,216,49
2020-01-19,198,54
2020-01-20,366,102
2020-01-21,372,114
2020-01-22,369,135
2020-01-23,302,108
2020-01-24,285,70
2020-01-25,158,47
2020-01-26,181,64
2020-01-27,316,127
2020-01-28,354,124
2020-01-29,313,121
2020-01-30,436,122
2020-01-31,278,100
2020-02-01,151,33
2020-02-02,189,47
2020-02-03,331,101
2020-02-04,316,113
2020-02-05,320,104
2020-02-06,298,83
2020-02-07,252,81
2020-02-08,140,38
2020-02-09,156,59
2020-02-10,282,69
2020-02-11,330,80
2020-02-12,320,102
2020-02-13,290,93
2020-02-14,391,87
2020-02-15,141,42
2020-02-16,171,67
2020-02-17,335,95
2020-02-18,292,86
2020-02-19,309,79
2020-02-20,269,88
2020-02-21,238,73
2020-02-22,145,34
2020-02-23,168,33
2020-02-24,322,111
2020-02-25,283,118
2020-02-26,286,125
2020-02-27,271,93
2020-02-28,246,72
2020-02-29,157,44
2020-03-01,160,48
2020-03-02,295,82
2020-03-03,283,94
2020-03-04,282,75
2020-03-05,302,91
2020-03-06,225,94
2020-03-07,138,30
2020-03-08,192,48
2020-03-09,305,95
2020-03-10,318,86
2020-03-11,307,94
2020-03-12,276,74
2020-03-13,222,59
2020-03-14,155,37
2020-03-15,138,47
2020-03-16,232,73
2020-03-17,237,67
2020-03-18,278,75
2020-03-19,190,94
2020-03-20,195,56
2020-03-21,137,49
2020-03-22,166,262
2020-03-23,283,72
2020-03-24,268,96
2020-03-25,285,70
2020-03-26,276,75
2020-03-27,234,59
2020-03-28,143,28
2020-03-29,173,51
2020-03-30,289,86
2020-03-31,308,97
2020-04-01,292,94
2020-04-02,277,79
2020-04-03,257,64
2020-04-04,165,46
2020-04-05,142,37
2020-04-06,275,73
2020-04-07,269,60
2020-04-08,267,99
2020-04-09,262,72
2020-04-10,190,40
2020-04-11,162,44
2020-04-12,134,35
2020-04-13,211,49
2020-04-14,304,80
2020-04-15,300,94
2020-04-16,313,76
2020-04-17,248,88
2020-04-18,161,54
2020-04-19,230,78
2020-04-20,310,97
2020-04-21,382,182
2020-04-22,318,69
2020-04-23,295,87
2020-04-24,292,73
2020-04-25,190,33
2020-04-26,220,63
2020-04-27,340,87
2020-04-28,303,79
2020-04-29,315,70
2020-04-30,277,89
2020-05-01,193,31
2020-05-02,171,38
2020-05-03,163,43
2020-05-04,307,87
2020-05-05,304,81
2020-05-06,254,82
2020-05-07,260,75
2020-05-08,271,81
2020-05-09,150,34
2020-05-10,196,49
2020-05-11,274,78
2020-05-12,254,104
2020-05-13,333,84
2020-05-14,242,76
2020-05-15,242,84
2020-05-16,161,41
2020-05-17,201,57
2020-05-18,280,92
2020-05-19,298,97
2020-05-20,244,69
2020-05-21,142,44
2020-05-22,222,55
2020-05-23,188,46
2020-05-24,227,52
2020-05-25,305,90
2020-05-26,283,108
2020-05-27,292,77
2020-05-28,275,68
2020-05-29,231,72
2020-05-30,147,41
2020-05-31,161,30
2020-06-01,202,43
2020-06-02,273,65
2020-06-03,254,81
